job_title,occupation_group,occupation,occupation_group_index,occupation_index
Training Staff,Trainer,Training Officer,144,564
เจ้าหน้าที่ BOI / นำเข้า-ส่งออก,BOI Officer,BOI Import/ Export Officer,17,54
ช่างซ่อมและทำลิฟต์,Construction/Building Technician,Elevetor Constructor and Mechanic,31,194
แพทย์ผู้เชี่ยวชาญด้าน Vascular Surgery Consultant (Part Time)<br>(1 ตำแหน่ง),Physician/Doctor,Surgeon,110,533
Specialist support,IT and Computer,IT Support,74,291
Radio Operator (1-year contract with possible renewal),Broadcasting,Broadcast Technician,20,68
Senior Graphic Designer,Graphic Designer,Graphic Designer,68,263
แพทย์ผู้เชี่ยวชาญด้านผิวหนังและความงาม  - Full Time (อังคาร - ศุกร์) หรือ Part Time (เสาร์ - อาทิตย์),Physician/Doctor,Dermatologist,110,164
Court Recorder,Lawyer,Court Recorder,82,144
พนักงานรับ-ส่งเอกสาร (ประจำห้วยขวาง),Driver,Messenger,44,368
นักดาราศาสตร์,Astronomer,Astronomer,15,42
AFC Technician,Technician,Technician,141,550
พนักงานทำความสะอาด/แม่บ้าน,Housekeeping,Cleaning Staff,72,108
Sales Engineer (Rayong) (25-30K) (JO-160523-076024),Sales,Sales Engineer,132,497
Expediter-Dolcelatte<br>(National Capital Reg - Quezon City),Food Preparation,Expediter,62,213
Customer Service Seafreight Export <br>(Amata City Rayong/Laemchabang),Customer Service,Customer Service,37,148
CREATIVE EVENT (CSR) & COPY WRITER,Event,Event Management,53,207
Executive Consultant (Clinical IT Change Management),Business Consultant,Business Consultant,22,72
Field Based Account Manager / Sale Executive Trainee<br>Sale Engineer,Sales,Sales,132,495
Service Technician,Technician,Technical Support,141,549
เจ้าหน้าที่ฝ่ายดิจิทัลเทคโนโลยี,IT and Computer,IT Analyst,74,285
ช่างระบบ (น้ำไฟ) (ประจำสำนักงานหัวหิน),Construction/Building Technician,Plumber/Pipefitting,31,428
Field Service Technician,Technician,Technical Support,141,549
นักทดลองวิทยาศาสตร์วิจัย ประจำศูนย์เชี่ยวชาญนวัตกรรมพลังงานสะอาดและสิ่งแวดล้อม (ศนพ.) อัตราที่ ๒,Scientist,Scientist,133,503
Interior Designer,Architecture/Interior,Interior Architecture,12,301
owner,Top Level Executive,Business Owner,142,78
Marketing Research,Marketing,Marketing Officer,88,344
Freelance (Automation Design and Control Systems ),Engineering,Automation Engineer,50,48
ช่างเทคนิคทางทันตกรรม,Medical Technologist,"Dental Technologist, Technician and Laboratory",93,161
Language school manager,Teacher,School Principal,140,501
Prepress Operations,Operation Staff,"Layout,Prepress,Printing & Binding Operations",103,323
เจ้าหน้าที่ธุรการ,Administration,Administrator,2,8
Executive Secretariat,Secretary,Secretary,134,505
นักวิเคราะห์ สำรวจและเก็บข้อมูลต่างๆในชุมชน,Researcher,Researcher,129,487
HRBP Manager/Executive,HR,HR Director,69,269
Customs Brokerage Supervisor,Import and Export,Customs Clearance Supervisor,75,150
ช่างตัดแต่งขนสัตว์เลี้ยง,Dog Groomer,Dog Groomer,43,177
Reception and Liaison Officer,Customer Service,Receptionist,37,475
Automotive Engineer,Engineering,Automotive Engineer,50,49
Vice Chairman of Executive Committee,Top Level Executive,Vice Chairman of Executive Committee,142,578
Urban Design,Architecture/Interior,Urban Architect,12,574
Display Promotion,Display Designer,Display Designer,42,171
PR – Media Director,Advertising and PR,PR Director,5,399
เจ้าหน้าที่ Creative & Content PR (3 ตำแหน่ง),Advertising and PR,PR Executive,5,400
Clinical Manager,Clinical Coordinator,Clinical Coordinator,28,110
พนักงานเสิร์ฟ ร้านอาหารญี่ปุ่น Sushi Den (ประจำสาขา เช็นทรัลแจ้งวัฒนะ),Food & Beverage Serving,Food & Beverage Serving,60,238
"Product Specialist (Biotechnology, Molecular Biology, Analytical Chemistry)",Biologist,Biological Technologist and Technician,19,64
ครูคอมพิวเตอร์,Teacher,Computer Teacher,140,128
MANUFACTURING ENGINEER - WELDING,Engineering,Welding Engineer,50,592
PARAMEDIC,Ambulance Attendant,Ambulance Attendant,8,26
ช่างแผนกจักรกลหนัก,Technician,Heavy Equipment Operator,141,277
ช่างติดตั้งฟิล์มกรองแสง,Construction/Building Technician,Film Lighting Filter Installing Technician,31,218
Site Engineer (ประจำโครงการปากน้ำ),Engineering,Site Engineer,50,515
Design Engineer (Power Products- Agricultural products),Engineering,Design Engineer,50,166
Logistic Inspection Center Officer (Export-Import) (Contractor),Import and Export,Incoming Quality Inspector,75,294
Service Engineer,Engineering,Service Engineer,50,510
New Product R&D Staff,Research and Development,Research and Development Executive,128,485
Marketing Research  Manager,Marketing,Marketing Manager,88,343
Program and Research Assistant,Researcher,Assistant Researcher,129,41
Quality Energy ,Engineering,Energy Engineer,50,195
สัตวบาลสุกรขุน กระบี่,Agricultural And Natural Resources,Animal Husbandman,6,28
เจ้าหน้าที่ 3D Visualizer,Design Drafter,3D Visualizer,40,0
Makeup Artist เงินเดือน พร้อม Incentive และโบนัสประจำปี 2 รอบ,Makeup Artist,Makeup Artist,86,335
หัวหน้านักวิชาการสิ่งแวดล้อมภาคนาม  / Sampling Supervisor<br>(1 อัตรา),Environmental Scientist,Environmental Scientist,51,202
CIO/ผู้อำนวยการบริหารงาน สารสนเทศ และ เทคโนโลยี,IT and Computer,ICT,74,284
Tour and Travel Operator,Travel Agent,Travel Agent,147,569
เจ้าหน้าที่อาวุโสฝ่ายบริหารจัดการเงินสด,Finance,Finance Officer,55,222
Agricultural Service Manager,Agricultural And Natural Resources,Agricultural and Related Service Manager,6,21
Geophysicist,Geoscientist and Geographer,Geoscientist,67,259
RESEARCH DIRECTOR,Research and Development,Research and Development Director,128,483
Speed Boat Captain,Pilot,Pilot,112,423
IT Consultant (Cloud CRM System: Salesforce) (50-100K) (JO-160607-077187),IT and Computer,IT Consultant,74,287
Vice President,Top Level Executive,Vice President,142,579
Sales Executive/Sales Representative ***กลุ่มลูกค้าร้านค้า กทม.ปริมณฑล และต่างจังหวัด,Sales,Sales,132,495
พนักงานแนะนำความงาม (BA/BC) Support (ตามแนวรถไฟฟ้า),Sales,Beauty Advisor,132,61
Procurement officer- Chemist (Food & Beverage or Pharmaceutical) Based in Bangpoo,Purchasing,Purchasing Executive,125,464
Safety and Security Executive,Security Guard,Security Guard,135,506
นักวิทยาศาสตร์หน่วยวิเคราะห์ยา,Clinical Researcher,Medical Scientist,29,363
Gulf Career Day (At Sriracha),Job Fair,Job Fair,79,313
[N] Spec-in Engineer/Sales Engineer (Staff & Manager Level) (D-3169),Sales,Sales Engineer,132,497
Geologist & Geophysicist<br>,Geoscientist and Geographer,Geoscientist,67,259
Oversea Purchasing Executive,Purchasing,Purchasing Executive,125,464
นายช่างแผนงาน,Technician,Technician,141,550
ช่างติดตั้งเครื่องปรับอากาศ,Construction/Building Technician,Service Technician,31,512
Brand Ambassador,Marketing,Ambassador,88,25
Interior Designer,Architecture/Interior,Interior Architecture,12,301
ช่างทำตู้ไฟฟ้า,Electronic Technician,Electronic Technician,49,192
Digital Media Buyer,Advertising and PR,Media Buyer,5,354
ที่ปรึกษาการเงิน การลงทุน,Finance,Investment Consultant,55,308
Motion Graphic Designer,Multimedia,Animation Designer,96,30
ผู้ควบคุมระบบบำบัดมลพิษ,Production,Production Control,118,446
พนักงานคีย์ข้อมูลสต๊อกสินค้า,Administration,Data Entry/Order Processor,2,155
Agricultural and Fish Product Inspector,Agricultural And Natural Resources,Agricultural and Fish Product Inspector,6,18
ธุรการศูนย์บริการค้าปลีก,Administration,Administrator,2,8
Cost Analyst (Based at BKK),Research and Development,Cost Reduction,128,142
Localization Engineer,Translator,Localization,145,330
ผู้ตรวจสอบผลิตภัณฑ์ปลาและการเกษตร,Agricultural And Natural Resources,Agricultural and Fish Product Inspector,6,18
<font color=red><b>Urgent!!!</font color></b> Career Development,Teacher,Guidance Teacher,140,268
ผู้จัดการฝ่ายสื่อสาร,Advertising and PR,Communication Manager,5,123
พนักงานสารสนเทศภูมิศาสตร์/พนักงานสารสนเทศภูมิศาสตร์อาวุโส,Geoscientist and Geographer,Geoscientist,67,259
Sports Medical Trainer - New grad welcome,Physical Consultant,Sports Medical Trainer,109,526
ผู้อำนวยการการจัดจำหน่าย,Marketing,Distribution Director,88,172
ผู้จัดการฝ่ายขายอุปกรณ์เคลื่อนย้ายสินค้าและวัสดุ (Material Handling Equipment),Material Management,Material Control Manager,89,346
Site Manager,Engineering,Site Manager,50,517
Motion Graphic / Web Designer,Application Designer,Web Designer,10,590
Online Marketing,Marketing,Online Marketing Officer,88,385
ช่างเชื่อมประกอบ,Technician,Milling Technician,141,369
"Account Staff (1 Position at BKK, 1 Position at Lopburi)",Accounting,Accountant,1,4
(D1) Technical Support Engineer,Engineering,Service Engineer,50,510
Field engineer,Engineering,Site Engineer,50,515
Admission Executive,Admissions Officer,Admissions Officer,3,9
เซลส์ขายตัวแทนจำหน่าย,Sales,Sales,132,495
วิศวกรชลประทาน/แหล่งน้ำ,Engineering,Irrigation Engineer,50,310
Creative Direction/Lead,Graphic Designer,Creative Direction/Lead,68,146
นักส่งเสริม,Trainer,Trainer,144,563
Assistant Store Manager Grocerry,Marketing,Branch Manager,88,67
นักชีวเคมี,Biochemist,Biochemist,18,63
Sales Executive (ประจำที่สำนักงานสาขานิคมอมตะฯ ชลบุรี),Sales,Sales,132,495
Sound and Visual System officer,Audio and Video Recording Technician,Audio and Video Recording Technician,16,44
painter artist,Creative Art,Painter,36,404
Information Security Manager,IT and Computer,IT Security,74,289
SUPPLIER QUALITY MANAGEMENT AUDITOR,Warehouse Management,Supplier Management/Vendor Management,151,532
Big Data Scientist (Data Mining) (45 - 60KTHB) J218841 R5764,Data,Data Mining Specialist,38,157
technician,Technician,Technician,141,550
ธุรการอำนวยการ ประจำโรงเรียนนานาชาติในจังหวัดสมุทรปราการ,Administration,Administrator,2,8
ช่างซ่อมบำรุงเคเบิลทีวี,Internet and Cable TV Technician,Cable Televistion Service and Maintenance Technician,76,83
ประสานงานอีเว้น,Event,Event Coordinator,53,206
Building and Hotel Manager,Building Manager,Building Manager,21,70
Data Mining Consultant,Data,Data Mining Specialist,38,157
Master Control Room Officer,Broadcasting,Master Control Room Officer,20,345
ช่างติดตั้ง (INKJET),Construction/Building Technician,Scaffolding Installing Technician,31,499
<font color=red><b>Urgently Required!!!</b></font><br>Storewide Promotion Manager / Executive,Marketing,Marketing Manager,88,343
เจ้าหน้าที่อาวุโสที่ปรึกษาทางการเงิน,Finance,Financial Advisor,55,223
Business Development Specialist,Business Developer,Business Developer,23,73
ครูด้านการศึกษาพิเศษ,Teacher,Special Education Teacher,140,524
อายุรแพทย์ Part Time,Physician/Doctor,Physician/Doctor,110,420
Planner Team Lead / Senior Digital Strategic Planner,Advertising and PR,Media Planner,5,357
Investment Analyst,Finance,Investment Analyst,55,306
"ช่างกัด (Milling Manual Machine) , ช่างกัด CNC (CNC Milling Machine)",Technician,Milling Technician,141,369
นักบำบัดทางการแพทย์,Medical Therapy/Rehab Services,Medical Therapy/Rehab Services,94,365
COST ENGINEER,Engineering,Cost Engineer,50,140
ผู้อำนวยการโครงการประกวดครูสอนคณิตศาสตร์ดีเด่น มูลนิธิศักดิ์พรทรัพย์,HR,HR Director,69,269
General Admin.Executive,Administration,Administrator,2,8
ปลัด,Permanent Secretary,Permanent Secretary,106,409
แพทย์เวรเด็ก<br>(Part-time),Physician/Doctor,Pediatrician,110,407
ครูการศึกษาพิเศษ (4 อัตรา),Teacher,Special Education Teacher,140,524
"กราฟฟิก ดีไซน์, ครีเอทีฟ​",Graphic Designer,Graphic Designer,68,263
Die Techniciane,Engineering,DIE Designer,50,151
Assistant Traffic Officer,Creative,Traffic Manager,35,561
Call Center Representative (English Skill),Customer Service,Call Center Representative,37,84
งานต้อนรับ (ร้านอาหาร),Customer Service,Host/Hostess,37,280
เจ้าหน้าที่บริหารอาคารและสถานที่,Building Manager,Building Manager,21,70
Civil Engineer / วิศวกรโยธา,Engineering,Civil Engineer,50,106
พยาบาลวิชาชีพ,Nurse,Nurse,101,380
Marine Executive,Biologist,Biologist,19,65
SR Solutions Auditor (Social Auditor),Corporate Social Responsibility,Corporate Social Responsibility,34,139
Community Manager,Administration,Community Officer,2,125
ผู้เชี่ยวชาญด้านการสื่อสาร,Advertising and PR,Communication Specialist,5,124
Data Scientist - Data Analytics COE,Data,Data Scientist,38,158
Client Relations Executives,Customer Service,Client Relationship,37,109
Product presenter ,Marketing,Ambassador,88,25
หัวหน้าผู้ตรวจสอบทั่วไป,Economist,Chief Inspector General,46,101
ช่างวอลเปเปอร์,Construction/Building Technician,Floorig/Tiling/Painting/Wallpapering,31,236
พนักงานขับรถผู้บริหาร,Driver,Driver,44,181
เจ้าหน้าที่พัฒนาระบบ (QS) (ประจำที่โรงงานหลวงฯ ที่ ๓ อ.เต่างอย จ.สกลนคร),Quality Assurance,Quality Control,126,468
นักแก้ไขการพูด,Medical Therapy/Rehab Services,Speech/Language Pathologist,94,525
พนักงานขายตั๋วเครื่องบิน,Customer Service,Ticketing Officer,37,558
Senior Safety Engineer (Power plant) – Korat areas,Safety Officer,Safety Engineer,131,493
Sales Coordinator Officer (Job Code : SAL1202015),Sales,Sales Coordinator,132,496
Nutritionist (สาขา รพ.กรุงเทพ พัทยา),Nutritionist,Nutritionist,102,381
รับนักเต้น,Performer/Artist,Dancer,105,152
Chairman,Top Level Executive,Chairman,142,94
ช่างมุงกระเบื้อง,Construction/Building Technician,Roofing,31,491
Research Assistant,Researcher,Assistant Researcher,129,41
ผู้จัดการฝ่ายวิศวกรรมไฟฟ้า,Engineering,Electrical Engineer,50,190
รองผู้จัดการสาขา,Marketing,Branch Manager,88,67
Data Development,Data,Data Management,38,156
Skywalk Guide (Eng/Chinese),Travel Agent,Tour Guide,147,559
พนักงานประจำเครื่องสลิท,Operation Staff,Machine Operator,103,333
Quality process engineer,Engineering,Quality Engineer,50,469
Warehouse Materials Control ,Material Management,Material Control Officer,89,347
Guest Service Attendant,Customer Service,Guest Service Agent,37,267
Construction Manager / ผู้จัดการสายงานก่อสร้าง,Engineering,Construction Manager,50,132
SOCIO - ECONOMIST,Economist,Economic Policy Researcher and Analyst,46,184
Designer,Product Design,Industrial Designer,117,295
Sr. Reliability Engineer,Engineering,Failure Analysis Engineer,50,215
<font color=red><b>Urgently Required!!!</font color></b> Director,Top Level Executive,Director,142,169
Production Line Staff,Production,Production,118,445
ช่างภาพ วีดิโอ ด่วน,Photographer & Videographer,Film and Video Camera Operator,108,219
ผู้ช่วยบรรณาธิการ / Graphic Design,Graphic Designer,Graphic Designer,68,263
เจ้าหน้าที่ธุรการราชการ (Government Affairs Officer),Administration,Administrator,2,8
Site Engineering,Engineering,Site Engineer,50,515
ช่างภาพ (แฟชั่น) / Fashion Photographer (บางนา-ตราด กม. 19),Photographer & Videographer,Photographer,108,416
Junior Copy Editor,Writer and Editor,Editor,152,186
ช่างทำแพทเทิร์น,Fashion Designer,Pattern Maker,54,406
Maintenance Engineer,Engineering,Operation and Maintenance Engineer,50,387
Customs Clearance Manager,Import and Export,Customs Clearance Supervisor,75,150
พนักงานต้อนรับ,Customer Service,Receptionist,37,475
School Admissions,Admissions Officer,Admissions Officer,3,9
เทรนเนอร์ FI,Trainer,Trainer,144,563
BOI & Import Officer,BOI Officer,BOI Import/ Export Officer,17,54
ช่างกล้องภาพยนตร์,Photographer & Videographer,Cinematographer,108,105
สถาปนิก,Architecture/Interior,Architect,12,33
Voice Over,Voice Over,Voice Over,150,583
Technician support line,Technician,Technical Support,141,549
เขียนแบบ  (Design Technician),Design Drafter,Design Drafter,40,165
SENIOR TECHNICIAN / TECHNICIAN,Technician,Technician,141,550
แคชเชียร์,Customer Service,Cashier,37,90
Inspector - Agri product,Agricultural And Natural Resources,Agricultural and Fish Product Inspector,6,18
ตัวแทนฝ่ายบริหาร,Customer Service,Service Representative,37,511
ผู้ช่วยผู้จัดการฝ่ายตรวจสอบ,Accounting,Auditor,1,47
แพทย์อายุรกรรม (Internal Medicine),Physician/Doctor,Internal Medicine Doctor,110,302
Fuel & Ash Supervisor,Production,Production Control,118,446
หัวหน้าหน่วยงานพัฒนาองค์กร-นันทนาการ,HR,Organizational Development Manager,69,393
Receptionist (Base at BKK),Customer Service,Receptionist,37,475
VISUAL MERCHANDISER,Display Designer,Visual Merchandiser,42,581
ผู้จัดการแผนกการตลาด,Marketing,Marketing Manager,88,343
International Operations Officer,Operation Staff,Operations Technician,103,389
นักจุลชีววิทยา,Biologist,Biologist,19,65
Consultant / ที่ปรึกษาด้านความงาม (ไม่จำกัด ตำแหน่ง),Sales,Beauty Advisor,132,61
Senior of Production & Project control officer,Production,Production Control,118,446
Operation Technician,Operation Staff,Operations Technician,103,389
เจ้าหน้าที่ถ่ายทำ-ตัดต่อ VDO,Photographer & Videographer,Cameraman,108,85
เจ้าหน้าที่ประสานงาน BOI,BOI Officer,BOI Coordinator,17,53
นักแต่งเพลง,Musician,Composer,98,127
Wealth Advisor,Finance,Financial Advisor,55,223
พนักงาน PC เรียงสินค้า (จำนวนมาก),Sales,Product Consultant,132,441
เจ้าหน้าที่พิจารณาสินไหม (Claim Assessor),Finance,Claim Assessor,55,107
ID Management,IT and Computer,IT Security,74,289
"Database Website  Senior/Manager <br>( Phyathai 2 )2  Position, ( Phyathai 3 ):2  Position",IT and Computer,System Administrator,74,536
ธุรการบัญชี (Accounting Administrator),Accounting,Accountant,1,4
Service Technician (สาขาหนองคาย),Technician,Technical Support,141,549
Indirect buying associated,Purchasing,Purchasing Executive,125,464
Export Manager<br>(Job Code :	LOG 0806006),Import and Export,Import and Export Manager,75,292
พนักงานเขียนแบบเครื่องกล 2 ตำแหน่ง,Technician,Mechanic Technician,141,352
"Research Executive (For Ipsos Thailand, Base in Bangkok)",Advertising and PR,Research Executive,5,481
Mechanical Repairer,Technician,Mechanic Technician,141,352
Product Specialist – Obesity team (Hybrid),Engineering,Product Specialist - Engineer,50,444
นักเปียโน,Musician,Musician,98,374
วิสัญญีพยาบาล,Nurse,Nurse,101,380
คู่สัญญาและผู้คุม,Contracts Administrator,Contractor & Supervisor,33,136
โฟร์แมนสนาม,Engineering,Site Foreman,50,516
เจ้าหน้าที่ฝ่ายละคร,Writer and Editor,Dramatist,152,179
ผู้ช่วยนักวิจัย,Researcher,Assistant Researcher,129,41
เจ้าหน้าที่อาชีวอนามัยความปลอดภัยวิชาชีพ,Safety Officer,Occupational Health and Safety Officer,131,383
ผู้ช่วยสัตวแพทย์,Veterinarian,Veterinarian,148,577
พนักงานผสมน้ำยา (Mixing),Lab Technician,Lab Technician,80,318
พนักงานประจำร้าน,Warehouse Management,Store Officer,151,529
Customer Service / เจ้าหน้าที่ประจำศูนย์จำหน่ายกรุงเทพ,Customer Service,Customer Service,37,148
Manufacturing Engineer (2 Positions),Engineering,Industrial Engineer,50,296
เจ้าหน้าที่วิเคราะห์ข้อมูล,Data,Data Analytic,38,153
Software Testing Manager & Consultant<br>(Senior/Team Lead),IT and Computer,Tester,74,553
DIGITAL MARKETING MANAGER,Marketing,Online Marketing Manager,88,384
จิตแพทย์ (Psychiatrist),Physician/Doctor,Psychiatrist,110,460
Assistant Senior Administrator,Administration,Administrator,2,8
ออกแบบและเขียนแบบ,Architecture/Interior,Draftsman,12,178
"<font color=red><b>ธนาคารกรุงศรีอยุธยา รับสมัครด่วน!!!</font color></b><br>เจ้าหน้าที่พัฒนาธุรกิจ (CSR) - ประจำสาขาพะเยา ,เชียงราย และลำปาง",Business Developer,Business Developer,23,73
ผู้ช่วยเภสัชกร,Medical Assistant,Pharmacist Assistant,91,414
Carpenter and Painter,Carpentry/Framing,Carpentry/Framing,26,89
อายุรแพทย์ Sub Board ทุกสาขา/  ศัลยแพทย์ทั่วไป / สูตินรีแพทย์ / กุมารแพทย์ Sub Board/ แพทย์ GP (หลายอัตรา),Physician/Doctor,Sub Board Chest/Critical care,110,531
ผู้จัดการอาคาร,Building Manager,Building Manager,21,70
การคมนาคมขนส่ง,Transportation Officer,Transportation Officer,146,568
"Die Design Supervisor(สามารถใช้โปรแกรม catia,ug,2D,3D )",Engineering,DIE Designer,50,151
Full-time Supervisors,Administration,Administrator,2,8
RF Planning & Optimization Engineer Supervisor,Engineering,Radio Systems Engineer,50,470
"ครูสอน SAT, IELTS, Biology, Chemistry, Physics, Math",Teacher,Teacher,140,545
Billing Office,Administration,Administrator,2,8
Senior Clinical Research,Clinical Researcher,Clinical Researcher,29,113
ช่างไฟฟ้า,Electrician,Electrician,48,191
Creative Online PR Trainee Project,Advertising and PR,PR Executive,5,400
Manufacturing Planning & Control,Production,Production Planner,118,448
ช่างติดตั้ง,Construction/Building Technician,Scaffolding Installing Technician,31,499
วิศวกรซ่อมบำรุง,Engineering,Technical Service,50,548
IT Helpdesk,IT and Computer,IT Support,74,291
BOI & 19 BIS Supervisor,BOI Officer,BOI Assistant Manager,17,52
ผู้ช่วยผู้จัดการ ฝ่าย Operation,Production,Production Manager,118,447
VOLUNTEER<br>Event Coordinator,Event,Event Coordinator,53,206
Officer,Production,Production,118,445
วิสัญญีแพทย์ประจำโรงพยาบาล,Physician/Doctor,Anesthetist,110,27
Domestic Transportation Supervisor No. (Job Reference)LOG0701018-2,Transportation Officer,Transportation Manager,146,567
Broadcasting Director,Advertising and PR,Media Director,5,356
ผู้เขียนแบบ,Design Drafter,Design Drafter,40,165
Programmers / Statistics Programmers,IT and Computer,Programmer / Software Developer,74,453
Waiter/ Waitress (Urgently Required),Food & Beverage Serving,Food & Beverage Serving,60,238
Environmental Health and Safety Engineer Supervisor,Safety Officer,Safety Officer,131,494
"Compliance, IT Audit",IT and Computer,IT Auditor,74,286
Mold die Engineer,Engineering,DIE Designer,50,151
Research Director (Ads/PR),Advertising and PR,Research Director,5,480
Senior Animator,Multimedia,Animation Designer,96,30
Senior Field Technician,Construction/Building Technician,Field Technician,31,217
นายธนาคารการลงทุน,Finance,Investment Banker,55,307
Tank & Pipe Fitter,Construction/Building Technician,Plumber/Pipefitting,31,428
รองปลัด,Permanent Secretary,Deputy Permanent Secretary,106,163
ช่างประกอบแว่นตาฝึกหัด,Optician,Optician,104,391
Tax Collection Staff/พนักงานจัดเก็บภาษี,Lawyer,Tax Collector,82,542
Jewelry Sales,Sales,Sales,132,495
Key Account Manager   ** EXPERIENCED in OEM &ODM COSMETICS in international company is preferable,Account Executive,Key Account Manager,0,315
Mechanical Maintenance Team Leader,Technician,Mechanic Technician,141,352
Agronomist Supervisor,Agricultural And Natural Resources,Agronomist,6,22
Senior Researcher/Researcher (Qualitative),Researcher,Researcher,129,487
เจ้าหน้าที่ควบคุมเครื่องตัดแท่งอลูมิเนียม,Technician,Milling Technician,141,369
เจ้าหน้าที่พัฒนา Website (ประจำศูนย์การค้าพันธ์ทิพย์ พลาซ่า สาขาประตูน้ำ),IT and Computer,Programmer / Software Developer,74,453
Account Executive (Event&Organizer),Account Executive,Account Executive,0,2
Support Project,othe,other,153,596
กองบรรณาธิการ/ผู้ช่วยกองบรรณาธิการ,Writer and Editor,Assistant Editor,152,40
Purchase *Oversea (54184),Purchasing,Purchasing Executive,125,464
Investment Analyst,Finance,Investment Analyst,55,306
Tax Seniors/Supervisors/Managers,Lawyer,Tax Manager,82,544
"<font color=red><b>""English Resume Only""</font></b>ESL Teacher (English Teacher) - 2 Positions",Teacher,English Language Teacher,140,200
Field Based Account Manager / Sale Executive Trainee<br>Sale Engineer,Account Executive,Account Manager,0,3
รับสมัคร รปภ.ประจำรถไฟฟ้าสายสีม่วง สถานีแยกติวานนท์,Security Guard,Security Guard,135,506
วิศวกรจัดซื้อ,Engineering,Engineer,50,198
"Website Manager , Media Manager , Advertising Manager , Dev Manager",IT and Computer,IT Manager,74,288
Logistic (BOI) Staff - PAPTH (Wellgrow Chachoengsao),BOI Officer,BOI Import/ Export Officer,17,54
พนักงานทดสอบโลหะวิทยาและเคมี ( HMM ),Chemist,Chemist,27,98
งานประมงและกระบวนการประมง,Fisherman,Fishing & Fishing Vessel Operation,56,231
รองหัวหน้า,Food Preparation,Chef,62,95
Fundraising Officer,Fundraiser,Fundraiser,65,248
พนักงานทำทรีทเมนท์ / Beauty Therapist,Medical Therapy/Rehab Services,Clinical Therapist,94,114
เจ้าหน้าที่ฝ่ายบำรุงรักษาอาคารสถานที่,Construction/Building Technician,Building Facilities Maintenance Staff,31,69
FX and Derivatives Operations Officer,Finance,Finance Officer,55,222
ช่างประกอบแว่นตา,Optician,Optician,104,391
Operation Manager (Customs Clearance),Import and Export,Customs Clearance Supervisor,75,150
เจ้าหน้าที่ฝ่ายออกแบบศิลป์,Creative Art,Creative Art,36,145
ผู้ช่วยดูแลเด็ก (บางละมุง ชลบุรี),Teacher,Early Childhood Care & Development Staff,140,182
Composer,Musician,Composer,98,127
กราฟฟิกดีไซน์ (ออกแบบผลิตภัณฑ์),Graphic Designer,Graphic Designer,68,263
ที่ปรึกษาด้านการศึกษา (Sale &  Marketing),Marketing,Marketing Officer,88,344
"Teachers Science (Physics, Chemistry, Biology)",Teacher,Physics Teacher,140,422
เจ้าหน้าที่พิจารณารับประกัน,Finance,Underwriter,55,573
Food Consultant,Food Consultant,Food Consultant,61,240
Product Owner – Digital Banking,Top Level Executive,Business Owner,142,78
นายธนาคารการลงทุน,Finance,Investment Banker,55,307
โฟร์แมนควบคุมงานบริการหลังการขาย ( PERFECT SERVICE ),Sales,Sales Support,132,498
ช่างเสียง/วิดีโอ,Audio and Video Recording Technician,Audio and Video Recording Technician,16,44
Gardener (ปฏิบัติงานที่ สุวรรณภูมิ),Housekeeping,Gardener,72,253
ที่ปรึกษาด้านการเงิน,Finance,Financial Consultant,55,225
"Associate Director, Customised Research",Research and Development,Research and Development Director,128,483
หัวหน้าแผนก IT (1 ตำแหน่ง),IT and Computer,IT Manager,74,288
Training student,Trainer,Instructor,144,298
RESEARCHER,Researcher,Researcher,129,487
Hazardous Materials Handle Staff,Material Management,Hazardous Materials Handle,89,275
ผู้จัดซื้อต่างประเทศ,Purchasing,Purchasing Executive,125,464
Vehicle Technicain,Technician,Automotive Technician,141,50
นักวิชาการป่าไม้,Forester,Forester,64,244
บรรณาธิการบริหาร (ARiP),Writer and Editor,Editor,152,186
Distribution Administrative,Marketing,Distribution Executive,88,173
Clinical Researcher,Clinical Researcher,Clinical Researcher,29,113
นักวิชาการอาวุโส (สังคมวิทยา),Sociologist,Sociologist,138,520
Student Internship,othe,other,153,596
Mining Engineer,Engineering,Mining Engineer,50,370
โฟแมน,Engineering,Site Foreman,50,516
ผู้จัดการอาคาร,Building Manager,Building Manager,21,70
ครูแนะแนว,Teacher,Guidance Teacher,140,268
วิศวกรวิจัยและพัฒนา,Research and Development,Research and Development Engineer,128,484
ธุรการการเงิน,Administration,Administrator,2,8
วิศวกรพลังงาน,Engineering,Energy Engineer,50,195
เจ้าหน้าที่รถพยาบาล,Ambulance Attendant,Ambulance Attendant,8,26
<font color=red><b>Urgently Required!!!</font></b>Senior CRM Manager (Prefer loyalty program experiences),Customer Service,CRM Management Manager,37,81
ช่างเทคนิค (ระบบโทรศัพท์ PABX  & Network),Engineering,Network Engineer,50,376
Recreation Therapist,Medical Therapy/Rehab Services,Recreation Therapist,94,476
แพทย์หูคอจมูก (ENT),Physician/Doctor,Oto-rhino-laryngologist,110,396
Call Center Thai (Voice & Nonvoice),Customer Service,Call Center Representative,37,84
Export Development Executive,Import and Export,Import and Export Officer,75,293
นักสังคมวิทยา,Sociologist,Sociologist,138,520
Assistant Administrator,Administration,Administrator,2,8
เจ้าหน้าที่เภสัชกรรม,Medical Assistant,Pharmacist Assistant,91,414
นักเขียน เขียนบทหนังสั้นสะท้อนสังคม,Writer and Editor,Dramatist,152,179
Inspector Engineer,Engineering,Inspector,50,297
